"","date","sl","site_id","target","ave_copies","log_copies"
"83","2021-01-20","SL","H","N1",90696.1590476191,4.95758889522167
"84","2021-01-20","SL","H","N2",27503.1773214286,4.43938286886496
"85","2021-01-20","SL","I","N1",182842.358630952,5.26207681496799
"86","2021-01-20","SL","I","N2",24754.37125,4.39365189992126
"87","2021-01-20","SL","J","N1",71.4285714285714,1.85387196432176
"88","2021-01-20","SL","J","N2",71.4285714285714,1.85387196432176
"89","2021-01-20","SL","K","N1",7425.71833333333,3.87073847187653
"90","2021-01-20","SL","K","N2",4384.01238095238,3.64187177197533
"91","2021-01-20","SL","L","N1",61779.7761309524,4.79084633023173
"92","2021-01-20","SL","L","N2",57139.5144642857,4.7569365457006
"93","2021-01-20","SL","y","N2",71.4285714285714,1.85387196432176
"94","2021-01-20","SL","Y","N1",6390.03985119048,3.80550356662446
"95","2021-01-20","SL","Y","N2",8613.99650793651,3.93520469136619
"96","2021-01-26","SL","A","N1",131599.182083333,5.11925319005454
"97","2021-01-26","SL","A","N2",98664.0379166667,4.9941588853917
"98","2021-01-26","SL","E","N1",120078.552857143,5.07946544530829
"99","2021-01-26","SL","E","N2",58703.4345238095,4.76866351097681
"100","2021-01-26","SL","F","N1",71.4285714285714,1.85387196432176
"101","2021-01-26","SL","F","N2",71.4285714285714,1.85387196432176
"102","2021-01-26","SL","G","N1",9983.1330952381,3.99926686117041
"103","2021-01-26","SL","G","N2",5892.92744047619,3.77033109366688
"104","2021-01-26","SL","H","N1",95406.7510714286,4.97957910687739
"105","2021-01-26","SL","H","N2",69731.3482738095,4.8434280624832
"106","2021-01-26","SL","I","N1",7759.18684523809,3.88981621003007
"107","2021-01-26","SL","I","N2",71.4285714285714,1.85387196432176
"108","2021-01-26","SL","J","N1",71.4285714285714,1.85387196432176
"109","2021-01-26","SL","J","N2",71.4285714285714,1.85387196432176
"110","2021-01-26","SL","K","N1",39570.9171428571,4.59737611611051
"111","2021-01-26","SL","K","N2",17942.9826785714,4.25389463788167
"112","2021-01-26","SL","L","N1",71.4285714285714,1.85387196432176
"113","2021-01-26","SL","L","N2",71.4285714285714,1.85387196432176
"114","2021-01-26","SL","Y","N1",71.4285714285714,1.85387196432176
"115","2021-01-26","SL","Y","N2",4211.55922619048,3.62444291245409
"116","2021-02-02","SL","A","N1",307104.39327381,5.48728602927578
"117","2021-02-02","SL","A","N2",73921.0639285714,4.86876820895586
"118","2021-02-02","SL","E","N1",140948.403630952,5.14906016145491
"119","2021-02-02","SL","E","N2",24406.5005952381,4.38750551472545
"120","2021-02-02","SL","F","N1",71.4285714285714,1.85387196432176
"121","2021-02-02","SL","F","N2",71.4285714285714,1.85387196432176
"122","2021-02-02","SL","G","N1",104356.313035714,5.01851872684319
"123","2021-02-02","SL","G","N2",17303.4350595238,4.23813232736628
"124","2021-02-02","SL","H","N1",1012405.15708333,6.00535434874138
"125","2021-02-02","SL","H","N2",90310.7754761905,4.95573957147249
"126","2021-02-02","SL","I","N1",19520.9770238095,4.2905015502892
"127","2021-02-02","SL","I","N2",7386.22136904762,3.86842231955043
"128","2021-02-02","SL","J","N1",71.4285714285714,1.85387196432176
"129","2021-02-02","SL","J","N2",71.4285714285714,1.85387196432176
"130","2021-02-02","SL","K","N1",1475874.86875,6.16904953762586
"131","2021-02-02","SL","K","N2",479831.839642857,5.68108906256139
"132","2021-02-02","SL","L","N1",71.4285714285714,1.85387196432176
"133","2021-02-02","SL","L","N2",36599.8466666667,4.56347926594195
"134","2021-02-02","SL","Y","N1",43733.4261309524,4.64081350184706
"135","2021-02-02","SL","Y","N2",71.4285714285714,1.85387196432176
