"","wrf","collection_num","date","target","mean_copy_num_uL_rxn","mean_copy_num_L","sd_L","mean_total_copies","sd_total_copies"
"75","CC","32",2020-11-25,"N2",0.0203565971666667,363510.663690476,509030.947935555,2119096828218.47,2967411894562.09
"76","MI","32",2020-11-25,"N1",0.0809534474444445,1445597.27579365,438912.0177347,18167632234090,5516053644296.33
"77","NO","32",2020-11-25,"N1",0.0387796902222222,692494.468253968,599240.510226913,11324342095516.5,9799362805614.02
"78","CC","33",2020-11-30,"N1",0.0317852633333333,567593.988095238,976915.729710279,6725042750028.61,11574823171620.1
"79","MI","33",2020-11-30,"N1",0.0592376615555556,1057815.38492063,67229.8481903381,34116337256700.2,2168276437717.36
"80","NO","33",2020-11-30,"N1",0.0331315418888889,591634.676587302,522941.238988564,19529136039994.9,17261649800583
"81","CC","34",2020-12-02,"N1",0.0432703144444444,772684.186507937,668728.618784197,6025348479684.96,5214708721713.69
"82","MI","34",2020-12-02,"N1",0.0316412641111111,565022.573412698,491739.630084871,8320095767530.21,7240986480035.13
"83","NO","34",2020-12-02,"N1",0.0178470431111111,318697.198412698,545813.844139336,6502493638336,11136436300377.4
"84","CC","35",2020-12-07,"N1",0.0341380872222222,609608.700396825,1049687.34608202,4038333023496.01,6953619709281.58
"85","MI","35",2020-12-07,"N1",0.0973353882222222,1738131.93253968,1524861.83327063,24673282495331.4,21645852121053.7
"86","NO","35",2020-12-07,"N1",0.189059993666667,3376071.31547619,1173282.15393523,63387878026851,22029115831706.8
"87","CC","36",2020-12-09,"N1",0.0289862397777778,517611.424603175,890343.390249488,3350525201400.15,5763238261632.18
"88","MI","36",2020-12-09,"N1",0.151333635,2702386.33928571,1691419.16585134,35803740954084.4,22409502586118.6
"89","NO","36",2020-12-09,"N2",0.0106881404444444,190859.650793651,324392.716548139,3720782458160.59,6323991080714.73
"90","CC","37",2020-12-14,"N1",0.0568618608888889,1015390.37301587,1752521.81983849,6534237082260.63,11277823157459.2
"91","MI","37",2020-12-14,"N1",0.123026513666667,2196902.0297619,1904037.12836468,30187714932306.1,26163447105481.1
"92","NO","37",2020-12-14,"N1",0.106839733222222,1907852.37896825,72934.6054432511,34665616674577.1,1325219446996.5
"93","CC","38",2020-12-16,"N2",0.136626362888889,2439756.48015873,985429.198869994,15792668367623.6,6378733559717.54
"94","MI","38",2020-12-16,"N2",0.126259726555556,2254637.97420635,1327484.84225864,29444815512094.6,17336506668733.3
"95","NO","38",2020-12-16,"N2",0.105488383666667,1883721.13690476,1913833.31478242,35296751302810.7,35860986652147.1
"96","CC","39",2020-12-21,"N1",0.803216073777778,14343144.1746032,2753057.82820867,90129171107374.4,17299611371575.8
"97","MI","39",2020-12-21,"N1",0.223938059111111,3998893.91269841,4039646.95359665,51467340220630.2,51991847913688.5
"98","NO","39",2020-12-21,"N1",0.266466232777778,4758325.58531746,4545026.31316262,71868730883127.1,68647104343874.5
"99","CC","41",2020-12-28,"N1",0.286262557222222,5111831.37896825,1436878.18104911,35217687268873.6,9899294924291.69
"100","MI","41",2020-12-28,"N1",0.374599595888889,6689278.49801587,2921408.60109292,90904765571835.6,39700838304260.7
"101","NO","41",2020-12-28,"N2",0.0358824076666667,640757.279761905,603070.061348625,10259987730842.3,9656529275132.62
"102","CC","42",2021-01-04,"N1",0.0435040157777778,776857.424603175,773279.166757139,6234334590974.26,6205618824144.38
"103","MI","42",2021-01-04,"N1",0.0598675468888889,1069063.33730159,1114580.22450883,17441893535392.2,18184506880205.9
"104","NO","42",2021-01-04,"N2",0.0698537891111111,1247389.09126984,1093973.20500878,23089988994520.6,20250160467764.6
"105","CC","43",2021-01-11,"N1",0.458540898555556,8188230.33134921,2749587.8945117,58892037059325.9,19775803272350.7
"106","MI","43",2021-01-11,"N1",0.781698153333333,13958895.5952381,3658238.42891939,193923324718875,50821911655561.7
"107","NO","43",2021-01-11,"N1",0.653584464888889,11671151.1587302,11872488.7616633,212064443077290,215722740879781
"108","CC","44",2021-01-13,"N1",0.0223687076666667,399441.208333333,685666.571728721,2797290177208.6,4801728829982.09
"109","MI","44",2021-01-13,"N1",0.204824858555556,3657586.75992063,2329626.72416461,49151402513892.6,31306002657615.9
"110","NO","44",2021-01-13,"N1",0.121591761777778,2171281.46031746,2537100.93965291,45780891378540.8,53494097682601.4
"111","CC","45",2021-01-19,"N1",0.0831994075555556,1485703.70634921,1283969.17185998,9673275987328.32,8359801557702.86
"112","MI","45",2021-01-19,"N1",0.233658035666667,4172464.92261905,659893.937198568,56860165593832.9,8992688791718.98
"113","NO","45",2021-01-19,"N1",0.995564142777778,17777931.1210317,27153270.3472645,362729526939821,554017947357236
"114","CC","46",2021-01-20,"N1",0.392815726222222,7014566.53968254,3901408.11107821,47529888481713.6,26435488407184.2
"115","MI","46",2021-01-20,"N1",0.101927379777778,1820131.78174603,2294879.83903223,23770310415390.4,29970360765574.9
"116","NO","46",2021-01-20,"N1",0.196836025222222,3514929.0218254,3218233.6417908,72248579753998.8,66150072588144.3
"117","CC","47",2021-01-25,"N1",0.0519272294444444,927271.954365079,975502.085088496,6037379789489.76,6351401598413.53
"118","MI","47",2021-01-25,"N1",0.216637824444444,3868532.57936508,2397840.35527455,50375297774715,31224222475853.8
"119","NO","47",2021-01-25,"N1",0.0665630202222222,1188625.36111111,2052573.62086803,22632154670864.2,39082258532155.4
"120","CC","48",2021-01-27,"N1",0.116560838333333,2081443.54166667,646885.615178757,18200760725209.6,5656560008839.32
"121","MI","48",2021-01-27,"N1",0.0839674816666667,1499419.31547619,1319762.4653971,28890416873373.3,25428835953766.7
"122","NO","48",2021-01-27,"N1",0.0998387558888889,1782834.9265873,1709110.86670982,44676798875577.8,42829317122602.5
"123","CC","49",2021-02-01,"N1",0.0551699014444444,985176.811507937,853224.075732636,7831526123505.54,6782586191890.07
"124","MI","49",2021-02-01,"N1",0.0297348474444444,530979.418650794,913497.435135243,8321295676781.29,14315964029372.1
"125","NO","49",2021-02-01,"N1",0.0904388552222222,1614979.55753968,1584993.59590862,34357081890013.3,33719160416333.2
"126","CC","50",2021-02-03,"N1",0.0992743025555556,1772755.40277778,913215.513035588,17044939314241.7,8780513643408.12
"127","MI","50",2021-02-03,"N1",0.0431530132222222,770589.521825397,779517.967227723,10938739806799,11065481656213.1
"128","NO","50",2021-02-03,"N1",0.0805144547777778,1437758.12103175,2484084.21888043,31185547741996.3,53880778602345.1
"129","CC","51",2021-02-08,"N1",0.0290107407777778,518048.942460318,891101.193407278,3745562806302.34,6442780233903.47
