run_date,run_num,sample_date,collection_num,target,sample_id,ct,slope ,y-intercept,copy_num_uL_rxn,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_B,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_B,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_B,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_C,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_C,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_C,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_C,37.73143494,-3.5293,36.046,0.333000571,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_C,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_C,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_C,37.75980548,-3.5293,36.046,0.326893589,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_C,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_C,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_D,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_D,37.637444,-3.5293,36.046,0.354059774,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_E,37.77936052,-3.5293,36.046,0.322749541,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_E,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_F,37.6568632,-3.5293,36.046,0.34960232,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_F,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,NO_96_F,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_F,36.83941933,-3.5293,36.046,0.595923809,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_F,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,MI_96_F,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_F,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_F,Undetermined,-3.5293,36.046,0.004,,,
16-Jul-21,107,14-Jul-21,96,N1,CC_96_F,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_A,37.28,-3.5293,36.046,0.448317366,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_A,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_A,38.15,-3.5293,36.046,0.253194893,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_A,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_A,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_A,38.14,-3.5293,36.046,0.255063213,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_A,38.32,-3.5293,36.046,0.227505136,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_A,36.15,-3.5293,36.046,0.931398972,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_A,37.88,-3.5293,36.046,0.301587503,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_B,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_B,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_B,38.08,-3.5293,36.046,0.264796282,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_B,38.24,-3.5293,36.046,0.239619027,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_B,38.13,-3.5293,36.046,0.256107537,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_B,38.15,-3.5293,36.046,0.253280001,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_B,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_B,37.1,-3.5293,36.046,0.501563854,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_B,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_C,38.17,-3.5293,36.046,0.250272,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_C,38.16,-3.5293,36.046,0.252498967,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_C,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_C,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_C,38.05,-3.5293,36.046,0.270656794,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_C,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_C,38.26,-3.5293,36.046,0.236023971,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_C,37.04,-3.5293,36.046,0.521795548,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_C,38.03,-3.5293,36.046,0.274459164,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_D,38.84,-3.5293,36.046,0.161498743,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_D,37.17,-3.5293,36.046,0.480209675,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_D,37.92,-3.5293,36.046,0.295118023,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_D,38.2,-3.5293,36.046,0.24478006,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_D,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_D,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_D,36.01,-3.5293,36.046,1.021153273,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_D,35.84,-3.5293,36.046,1.143001285,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_D,38.17,-3.5293,36.046,0.250683229,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_E,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_E,38.13,-3.5293,36.046,0.256260943,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_E,36.94,-3.5293,36.046,0.559059636,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_E,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_E,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_E,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_E,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_E,37.03,-3.5293,36.046,0.526504107,,,
20-Jul-21,108,19-Jul-21,97,N1,CC_97_E,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_F,37.14,-3.5293,36.046,0.490085656,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_F,36.87,-3.5293,36.046,0.583042366,,,
20-Jul-21,108,19-Jul-21,97,N1,NO_97_F,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_F,Undetermined,-3.5293,36.046,0.004,,,
20-Jul-21,108,19-Jul-21,97,N1,MI_97_F,Undetermined,-3.5293,36.046,0.004,,,
