sample_id,target,ct
NO_22_C,N2,40
CC_22_C,N2,40
CC_22_C,N2,40
CC_22_C,N2,40
MI_22_A,N2,40
MI_22_A,N2,40
MI_22_A,N2,40
MI_22_B,N2,40
MI_22_B,N2,40
MI_22_B,N2,40
MI_22_C,N2,40
MI_22_C,N2,40
MI_22_C,N2,40
NO_23_A,N2,36.28141785
MI_23_C,N2,36.3941803
NO_23_C,N2,36.4458046
NO_23_B,N2,36.84003448
NO_23_B,N2,37.05987167
NO_23_A,N2,40
NO_23_A,N2,40
CC_23_A,N2,40
CC_23_A,N2,40
CC_23_A,N2,40
NO_23_B,N2,40
CC_23_B,N2,40
CC_23_B,N2,40
CC_23_B,N2,40
NO_23_C,N2,40
NO_23_C,N2,40
CC_23_C,N2,40
CC_23_C,N2,40
CC_23_C,N2,40
MI_23_A,N2,40
MI_23_A,N2,40
MI_23_A,N2,40
MI_23_B,N2,40
MI_23_B,N2,40
MI_23_B,N2,40
MI_23_C,N2,40
MI_23_C,N2,40
CC_24_B,N2,34.69803619
NO_24_B,N2,35.26902008
MI_24_A,N2,35.66901779
NO_24_C,N2,35.67445374
MI_24_A,N2,35.70503998
MI_24_B,N2,35.73795319
MI_24_C,N2,35.88476563
CC_24_C,N2,36.58752441
MI_24_B,N2,37.08217621
NO_24_A,N2,40
NO_24_A,N2,40
NO_24_A,N2,40
CC_24_A,N2,40
CC_24_A,N2,40
CC_24_A,N2,40
NO_24_B,N2,40
NO_24_B,N2,40
CC_24_B,N2,40
CC_24_B,N2,40
NO_24_C,N2,40
NO_24_C,N2,40
CC_24_C,N2,40
CC_24_C,N2,40
MI_24_A,N2,40
MI_24_B,N2,40
MI_24_C,N2,40
MI_24_C,N2,40
MI_25_A,N2,37.00466156
NO_25_A,N2,40
NO_25_A,N2,40
NO_25_A,N2,40
MI_25_A,N2,40
MI_25_A,N2,40
CC_25_A,N2,40
CC_25_A,N2,40
CC_25_A,N2,40
NO_25_B,N2,40
NO_25_B,N2,40
NO_25_B,N2,40
MI_25_B,N2,40
MI_25_B,N2,40
MI_25_B,N2,40
CC_25_B,N2,40
CC_25_B,N2,40
CC_25_B,N2,40
NO_25_C,N2,40
NO_25_C,N2,40
NO_25_C,N2,40
MI_25_C,N2,40
MI_25_C,N2,40
MI_25_C,N2,40
CC_25_C,N2,40
CC_25_C,N2,40
CC_25_C,N2,40
NO_26_A,N2,40
NO_26_A,N2,40
NO_26_A,N2,40
MI_26_A,N2,40
MI_26_A,N2,40
MI_26_A,N2,40
CC_26_A,N2,40
CC_26_A,N2,40
CC_26_A,N2,40
NO_26_B,N2,40
NO_26_B,N2,40
NO_26_B,N2,40
MI_26_B,N2,40
MI_26_B,N2,40
MI_26_B,N2,40
CC_26_B,N2,40
CC_26_B,N2,40
CC_26_B,N2,40
NO_26_C,N2,40
NO_26_C,N2,40
NO_26_C,N2,40
MI_26_C,N2,40
MI_26_C,N2,40
MI_26_C,N2,40
CC_26_C,N2,40
CC_26_C,N2,40
CC_26_C,N2,40
NO_27_A,N2,36.69158936
NO_27_C,N2,36.92333984
NO_27_B,N2,36.96961975
NO_27_A,N2,40
NO_27_A,N2,40
CC_27_A,N2,40
CC_27_A,N2,40
CC_27_A,N2,40
NO_27_B,N2,40
NO_27_B,N2,40
CC_27_B,N2,40
CC_27_B,N2,40
CC_27_B,N2,40
NO_27_C,N2,40
NO_27_C,N2,40
CC_27_C,N2,40
CC_27_C,N2,40
CC_27_C,N2,40
MI_27_A,N2,40
MI_27_A,N2,40
MI_27_A,N2,40
MI_27_B,N2,40
MI_27_B,N2,40
MI_27_B,N2,40
MI_27_C,N2,40
MI_27_C,N2,40
MI_27_C,N2,40
MI_28_A,N2,35.97872543
NO_28_B,N2,36.89989853
NO_28_C,N2,36.94734192
CC_28_B,N2,37.00337601
CC_28_B,N2,37.01781082
MI_28_A,N2,40
MI_28_A,N2,40
MI_28_B,N2,40
MI_28_B,N2,40
MI_28_B,N2,40
MI_28_C,N2,40
MI_28_C,N2,40
MI_28_C,N2,40
NO_28_A,N2,40
NO_28_A,N2,40
NO_28_A,N2,40
CC_28_A,N2,40
CC_28_A,N2,40
CC_28_A,N2,40
NO_28_B,N2,40
NO_28_B,N2,40
CC_28_B,N2,40
NO_28_C,N2,40
NO_28_C,N2,40
CC_28_C,N2,40
CC_28_C,N2,40
CC_28_C,N2,40
NO_29_A,N2,40
NO_29_A,N2,40
NO_29_A,N2,40
CC_29_A,N2,40
CC_29_A,N2,40
CC_29_A,N2,40
NO_29_B,N2,40
NO_29_B,N2,40
NO_29_B,N2,40
CC_29_B,N2,40
CC_29_B,N2,40
CC_29_B,N2,40
NO_29_C,N2,40
NO_29_C,N2,40
NO_29_C,N2,40
CC_29_C,N2,40
CC_29_C,N2,40
CC_29_C,N2,40
MI_29_A,N2,40
MI_29_A,N2,40
MI_29_A,N2,40
MI_29_B,N2,40
MI_29_B,N2,40
MI_29_B,N2,40
MI_29_C,N2,40
MI_29_C,N2,40
MI_29_C,N2,40
MI_30_B,N2,36.16389465
CC_30_C,N2,36.31747437
CC_30_A,N2,37.04875565
NO_30_A,N2,40
NO_30_A,N2,40
NO_30_A,N2,40
CC_30_A,N2,40
CC_30_A,N2,40
NO_30_B,N2,40
NO_30_B,N2,40
NO_30_B,N2,40
CC_30_B,N2,40
CC_30_B,N2,40
CC_30_B,N2,40
NO_30_C,N2,40
NO_30_C,N2,40
NO_30_C,N2,40
CC_30_C,N2,40
CC_30_C,N2,40
MI_30_A,N2,40
MI_30_A,N2,40
MI_30_A,N2,40
MI_30_B,N2,40
MI_30_B,N2,40
MI_30_C,N2,40
MI_30_C,N2,40
MI_30_C,N2,40
MI_31_B,N2,36.10042572
CC_31_B,N2,36.25643158
NO_31_B,N2,37.09080887
NO_31_A,N2,40
NO_31_A,N2,40
NO_31_A,N2,40
CC_31_A,N2,40
CC_31_A,N2,40
CC_31_A,N2,40
NO_31_B,N2,40
NO_31_B,N2,40
CC_31_B,N2,40
CC_31_B,N2,40
NO_31_C,N2,40
NO_31_C,N2,40
NO_31_C,N2,40
CC_31_C,N2,40
CC_31_C,N2,40
CC_31_C,N2,40
MI_31_A,N2,40
MI_31_A,N2,40
MI_31_A,N2,40
MI_31_B,N2,40
MI_31_B,N2,40
MI_31_C,N2,40
MI_31_C,N2,40
MI_31_C,N2,40
CC_32_A,N2,35.44885635
MI_32_B,N2,36.10004044
MI_32_C,N2,36.78276825
MI_32_A,N2,37.01087189
NO_32_A,N2,40
NO_32_A,N2,40
NO_32_A,N2,40
CC_32_A,N2,40
CC_32_A,N2,40
NO_32_B,N2,40
NO_32_B,N2,40
NO_32_B,N2,40
CC_32_B,N2,40
CC_32_B,N2,40
CC_32_B,N2,40
NO_32_C,N2,40
NO_32_C,N2,40
NO_32_C,N2,40
MI_32_A,N2,40
MI_32_A,N2,40
MI_32_B,N2,40
MI_32_B,N2,40
MI_32_C,N2,40
MI_32_C,N2,40
NO_33_B,N2,35.93220139
MI_33_A,N2,36.01376343
MI_33_A,N2,37.0668335
NO_33_A,N2,40
NO_33_A,N2,40
NO_33_A,N2,40
CC_33_A,N2,40
CC_33_A,N2,40
CC_33_A,N2,40
NO_33_B,N2,40
NO_33_B,N2,40
