run_date,run_num,sample_date,collection_num,sample_id,target,ct,slope ,y-intercept,copy_num_uL_rxn
23-Jul-20,18,21-Jul-20,10,MI_10_B,N2,34.27371979,-3.3084,32.416,0.274463074
23-Jul-20,18,21-Jul-20,10,MI_10_B,N2,34.18562698,-3.3084,32.416,0.291817233
29-Jul-20,19,28-Jul-20,11,MI_11_A,N2,Undetermined,-3.3084,32.416,0.0002
29-Jul-20,19,28-Jul-20,11,MI_11_A,N2,Undetermined,-3.3084,32.416,0.0002
29-Jul-20,19,28-Jul-20,11,MI_11_A,N2,Undetermined,-3.3084,32.416,0.0002
29-Jul-20,19,28-Jul-20,11,NO_11_A,N2,Undetermined,-3.3084,32.416,0.0002
29-Jul-20,19,28-Jul-20,11,NO_11_A,N2,Undetermined,-3.3084,32.416,0.0002
29-Jul-20,19,28-Jul-20,11,NO_11_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,28-Jul-20,11,CC_11_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,28-Jul-20,11,CC_11_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,28-Jul-20,11,CC_11_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,28-Jul-20,11,CC_11_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,28-Jul-20,11,CC_11_B,N2,Undetermined,-3.3084,32.416,0.0002
29-Jul-20,19,28-Jul-20,11,NO_11_A,N2,36.38441467,-3.3084,32.416,0.063168907
29-Jul-20,19,28-Jul-20,11,MI_11_B,N2,35.91749573,-3.3084,32.416,0.087424812
29-Jul-20,19,28-Jul-20,11,MI_11_B,N2,35.88684082,-3.3084,32.416,0.089310082
29-Jul-20,19,28-Jul-20,11,NO_11_B,N2,35.83443069,-3.3084,32.416,0.092627944
29-Jul-20,19,28-Jul-20,11,MI_11_B,N2,35.82836914,-3.3084,32.416,0.093019541
28-Oct-20,37,28-Jul-20,11,CC_11_B,N2,35.82485199,-3.3084,32.416,0.09324752
29-Jul-20,19,28-Jul-20,11,NO_11_B,N2,35.31305313,-3.3084,32.416,0.133147826
6-Aug-20,20,4-Aug-20,12,MI_12_A,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,MI_12_A,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,MI_12_A,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,MI_12_B,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,MI_12_B,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,MI_12_B,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,NO_12_A,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,NO_12_A,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,NO_12_A,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,NO_12_B,N2,Undetermined,-3.3084,32.416,0.0002
6-Aug-20,20,4-Aug-20,12,NO_12_B,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,4-Aug-20,12,CC_12_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,4-Aug-20,12,CC_12_A,N2,Undetermined,-3.3084,32.416,0.0002
28-Oct-20,37,4-Aug-20,12,CC_12_A,N2,Undetermined,-3.3084,32.416,0.0002
