collection_num,sample_id,target,POS_NEG
97,NO_97_F,N2,pos
97,NO_97_F,N2,neg
97,NO_97_F,N2,neg
97,MI_97_F,N2,neg
97,MI_97_F,N2,neg
97,MI_97_F,N2,neg
97,CC_97_F,N2,pos
97,CC_97_F,N2,pos
97,CC_97_F,N2,pos
98,NO_98_A,N2,pos
98,NO_98_A,N2,neg
98,NO_98_A,N2,neg
98,MI_98_A,N2,neg
98,MI_98_A,N2,neg
98,MI_98_A,N2,neg
98,CC_98_A,N2,neg
98,CC_98_A,N2,neg
98,CC_98_A,N2,neg
98,NO_98_B,N2,neg
98,NO_98_B,N2,neg
98,NO_98_B,N2,neg
98,MI_98_B,N2,neg
98,MI_98_B,N2,neg
98,MI_98_B,N2,neg
98,CC_98_B,N2,neg
98,CC_98_B,N2,pos
98,CC_98_B,N2,neg
98,NO_98_C,N2,neg
98,NO_98_C,N2,neg
98,NO_98_C,N2,neg
98,MI_98_C,N2,neg
98,MI_98_C,N2,neg
98,MI_98_C,N2,pos
98,CC_98_C,N2,neg
98,CC_98_C,N2,pos
98,CC_98_C,N2,neg
98,NO_98_D,N2,neg
98,NO_98_D,N2,neg
98,NO_98_D,N2,neg
98,MI_98_D,N2,neg
98,MI_98_D,N2,neg
98,MI_98_D,N2,neg
98,CC_98_D,N2,neg
98,CC_98_D,N2,neg
98,CC_98_D,N2,neg
98,NO_98_E,N2,neg
98,NO_98_E,N2,neg
98,NO_98_E,N2,neg
98,MI_98_E,N2,neg
98,MI_98_E,N2,neg
98,MI_98_E,N2,neg
98,CC_98_E,N2,neg
98,CC_98_E,N2,neg
98,CC_98_E,N2,pos
98,NO_98_F,N2,neg
98,NO_98_F,N2,neg
98,NO_98_F,N2,neg
98,MI_98_F,N2,neg
98,MI_98_F,N2,neg
98,MI_98_F,N2,pos
98,CC_98_F,N2,neg
98,CC_98_F,N2,pos
98,CC_98_F,N2,pos
98,MI_98_D,N2,neg
98,MI_98_D,N2,pos
98,MI_98_D,N2,neg
