rep,date,sample,target,ct,slope,intercept,copies_ul_rxn
,11/4/2020,SL_B,N1,34.23872757,-2.9006,32.027,0.172779845
,11/4/2020,SL_B,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_B,N1,35.43970108,-2.9006,32.027,0.066596277
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_B,N1,34.78614044,-2.9006,32.027,0.111884279
,11/4/2020,SL_B,N1,34.5693779,-2.9006,32.027,0.132892145
,11/4/2020,SL_B,N1,35.56947327,-2.9006,32.027,0.060077268
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_Z,N1,Undetermined,-2.9006,32.027,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,35.97822571,-3.2555,33.136,0.133951163
,11/4/2020,SL_C,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_A,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_C,N2,37.07799149,-3.2555,33.136,0.061535922
,11/4/2020,SL_B,N2,36.80094147,-3.2555,33.136,0.07485673
,11/4/2020,SL_B,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_B,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_B,N2,35.46207047,-3.2555,33.136,0.192972389
,11/4/2020,SL_B,N2,36.43844604,-3.2555,33.136,0.096734071
,11/4/2020,SL_B,N2,35.96733475,-3.2555,33.136,0.134986983
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_B,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_B,N2,36.19405746,-3.2555,33.136,0.114987045
,11/4/2020,SL_B,N2,34.55776978,-3.2555,33.136,0.365823378
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
,11/4/2020,SL_Z,N2,Undetermined,-3.2555,33.136,0.0002
