run_date,run_num,sample_date,collection_num,target,sample_id,ct,slope ,y-intercept,copy_num_uL_rxn
16-Jul-21,107,14-Jul-21,96,N2,MI_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_B,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_C,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,CC_96_D,39.3026884,-3.2505,37.731,0.328456573
16-Jul-21,107,14-Jul-21,96,N2,CC_96_D,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,NO_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_E,Undetermined,-3.2505,37.731,0.004
16-Jul-21,107,14-Jul-21,96,N2,MI_96_E,Undetermined,-3.2505,37.731,0.004
