collection_num,sample_id,target,ct,cg_num
72,NO_72_B,BCoV,33.31685257,72
72,NO_72_B,BCoV,33.71619415,72
72,NO_72_B,BCoV,33.28649902,72
72,MI_72_B,BCoV,33.53971481,72
72,MI_72_B,BCoV,34.04991913,72
72,MI_72_B,BCoV,33.56713867,72
72,CC_72_B,BCoV,34.60509491,72
72,CC_72_B,BCoV,35.02483368,72
72,CC_72_B,BCoV,34.50870514,72
74,NO_74_B,BCoV,32.82710266,
74,NO_74_B,BCoV,32.64939117,
74,NO_74_B,BCoV,32.47766876,
74,MI_74_B,BCoV,33.31228638,
74,MI_74_B,BCoV,33.31037521,
74,MI_74_B,BCoV,32.90302658,
74,CC_74_B,BCoV,33.37760544,
74,CC_74_B,BCoV,33.66859818,
74,CC_74_B,BCoV,33.24178314,
75,NO_75_B,BCoV,32.28500366,
75,NO_75_B,BCoV,32.56304169,
75,NO_75_B,BCoV,32.56903076,
75,MI_75_B,BCoV,30.16210175,
75,MI_75_B,BCoV,30.56532478,
75,MI_75_B,BCoV,30.30315781,
75,CC_75_B,BCoV,30.10870361,
75,CC_75_B,BCoV,30.40219879,
75,CC_75_B,BCoV,30.23106003,
76,76,76,76,
,NO_77_B,BCoV,32.20901489,
,NO_77_B,BCoV,32.80963135,
,NO_77_B,BCoV,32.36003113,
,MI_77_B,BCoV,32.84531403,
,MI_77_B,BCoV,33.49234772,
,MI_77_B,BCoV,33.05908203,
,CC_77_B,BCoV,33.48960876,
,CC_77_B,BCoV,33.99118042,
,CC_77_B,BCoV,33.55970383,
,NO_78_B,BCoV,31.87510109,
,NO_78_B,BCoV,32.29812241,
,NO_78_B,BCoV,31.9051609,
,MI_78_B,BCoV,32.11110687,
,MI_78_B,BCoV,32.87719345,
,MI_78_B,BCoV,32.10910034,
,CC_78_B,BCoV,33.17448044,
,CC_78_B,BCoV,33.35552979,
,CC_78_B,BCoV,32.98276901,
,NO_79_B,BCoV,33.40083694,
,NO_79_B,BCoV,33.47867966,
,NO_79_B,BCoV,33.20958328,
,MI_79_B,BCoV,33.79832458,
,MI_79_B,BCoV,34.13993454,
,MI_79_B,BCoV,33.55508041,
,CC_79_B,BCoV,34.07436752,
,CC_79_B,BCoV,34.18103027,
,CC_79_B,BCoV,33.63283157,
,NO_80_B,BCoV,32.22584152,
,NO_80_B,BCoV,32.49922562,
,NO_80_B,BCoV,31.90533638,
,MI_80_B,BCoV,33.21236038,
,MI_80_B,BCoV,33.47576141,
,MI_80_B,BCoV,32.98490524,
,CC_80_B,BCoV,33.28642273,
,CC_80_B,BCoV,33.58985138,
,CC_80_B,BCoV,33.10381699,
,81,,,
,82,,,
