collection_num,target,ct,quantity,log_quant
31,N2,28.24076653,4,0.602059991
31,N2,28.44919586,4,0.602059991
31,N2,28.64489174,4,0.602059991
33,N2,28.47537041,4,0.602059991
33,N2,28.10029411,4,0.602059991
33,N2,28.35819244,4,0.602059991
34,N2,29.81736946,4,0.602059991
34,N2,30.13878632,4,0.602059991
34,N2,30.12568283,4,0.602059991
35,N2,29.55125999,4,0.602059991
35,N2,28.97956467,4,0.602059991
35,N2,29.30137634,4,0.602059991
36,N2,27.70213318,4,0.602059991
36,N2,27.86721039,4,0.602059991
36,N2,27.92307091,4,0.602059991
37,N2,28.92258453,4,0.602059991
37,N2,28.96664619,4,0.602059991
37,N2,29.0813427,4,0.602059991
