Target,Cq,SQ
N2,22.87471771,4000
N2,22.82250977,4000
N2,22.92343712,4000
N2,26.99869347,400
N2,26.86343193,400
N2,26.89359856,400
N2,28.9250927,40
N2,29.05537605,40
N2,29.24495888,40
N2,32.11314774,4
N2,31.69690323,4
N2,31.42060661,4
N2,25.14290428,4000
N2,25.15670586,4000
N2,25.14249039,4000
N2,28.71914291,400
N2,28.7283268,400
N2,28.68551254,400
N2,32.01721954,40
N2,32.30242157,40
N2,32.18634033,40
N2,35.51039124,4
N2,35.52253342,4
N2,35.96061325,4
N2,21.58122826,4000
N2,21.49423981,4000
N2,21.37595749,4000
N2,25.69013214,400
N2,25.77857208,400
N2,25.64951324,400
N2,24.09982109,40
N2,24.13872337,40
N2,24.1144352,40
N2,29.33391571,4
N2,29.21828651,4
N2,29.16752625,4
N2,20.8050499,4000
N2,20.58784866,4000
N2,20.60695648,4000
N2,25.57320595,40
N2,25.6259613,40
N2,25.43142891,40
N2,31.24412346,4
N2,31.00494576,4
N2,29.93396378,4
N2,28.24076653,4
N2,28.44919586,4
N2,28.64489174,4
N2,21.8604908,4000
N2,22.12353897,4000
N2,21.94148445,4000
N2,26.38086891,400
N2,26.32489204,400
N2,26.17250633,400
N2,28.63468552,40
N2,28.59228134,40
N2,29.11133385,40
N2,20.3993721,4000
N2,20.3876152,4000
N2,20.43256378,4000
N2,24.32873726,400
N2,24.32316017,400
N2,24.33094406,400
N2,26.53418922,40
N2,26.43047523,40
N2,26.46159172,40
N2,28.47537041,4
N2,28.10029411,4
N2,28.35819244,4
N2,20.87915611,4000
N2,20.9336071,4000
N2,20.98615074,4000
N2,24.5358963,400
N2,24.52356148,400
N2,24.50839233,400
N2,27.1967659,40
N2,27.16250801,40
N2,27.34458351,40
N2,29.81736946,4
N2,30.13878632,4
N2,30.12568283,4
N2,20.7370224,4000
N2,20.59671783,4000
N2,20.50485229,4000
N2,23.68546295,400
N2,23.60788727,400
N2,23.55811691,400
N2,26.24905777,40
N2,26.163414,40
N2,26.52999115,40
N2,29.55125999,4
N2,28.97956467,4
N2,29.30137634,4
N2,20.08707809,4000
N2,19.98120689,4000
N2,20.10599327,4000
N2,23.92651176,400
N2,23.9364872,400
N2,24.08999062,400
N2,25.51605988,40
N2,25.52374458,40
N2,25.52092552,40
N2,27.70213318,4
N2,27.86721039,4
N2,27.92307091,4
N2,20.29769516,4000
N2,20.28416634,4000
N2,20.42028046,4000
N2,23.73046875,400
N2,23.67464256,400
N2,23.2149086,400
N2,26.40492249,40
N2,26.32963181,40
N2,26.20666504,40
N2,28.92258453,4
N2,28.96664619,4
N2,29.0813427,4
